Timestamp,Roll,Pitch,Yaw,EulerX,EulerY,EulerZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,LinearAccX,LinearAccY,LinearAccZ,Pressure,Altitude+10,Piezo,Label
00:00:02:677,85,-5.17,-101.08,85,5.17,101.08,0.44,-0.51,-0.52,0.53,-0.02,0.89,-0.12,-7.02,5.68,-5.07,-183.88,-395.35,-617.82,0.98,0.98,-0.2,1014.01,3.57,43,1
00:00:02:793,78.99,-4.51,-103.1,78.99,4.51,103.1,0.4,-0.49,-0.55,0.54,0.18,1.08,-0.53,2.08,16.85,-5.25,-201.39,-388.32,-600.9,1.16,1.15,-0.73,1014.02,3.57,7,1
00:00:02:909,79.24,1.22,-103.46,79.24,-1.22,103.46,0.43,-0.47,-0.58,0.51,1.17,1.45,-3.23,11.84,13.31,-5.31,-204.9,-402.38,-611.05,2.15,1.43,-3.41,1014.02,3.56,26,1
00:00:03:027,82.18,1.34,-105.54,82.18,-1.34,105.54,0.44,-0.49,-0.57,0.49,0.43,1.45,-1.41,4.39,-1.77,-4.82,-187.38,-391.83,-614.44,1.42,1.43,-1.55,1014.02,3.51,53,1
00:00:03:143,76.28,1.95,-106.68,76.28,-1.95,106.68,0.41,-0.46,-0.61,0.5,0.57,0.3,1.01,-31.01,-13.37,-5.74,-187.38,-388.32,-604.28,1.55,0.26,0.77,1014.03,3.58,59,1
00:00:03:274,78.56,2.26,-108.08,78.56,-2.26,108.08,0.42,-0.48,-0.6,0.48,0.05,1.02,0.12,18.98,14.59,-5.37,-185.63,-383.05,-605.98,1.03,0.98,-0.08,1014.03,3.47,18,1
00:00:03:389,72.25,3.44,-109.7,72.25,-3.44,109.7,0.39,-0.44,-0.64,0.49,0.09,0.65,1.17,-21.61,1.59,-5.86,-201.39,-384.8,-617.82,1.04,0.59,0.86,1014.03,3.6,20,1
00:00:03:507,65.84,4.48,-112.53,65.84,-4.48,112.53,0.36,-0.41,-0.68,0.49,-0.12,1.18,-1.6,-10.62,4.82,-5.49,-201.39,-388.32,-611.05,0.79,1.1,-2.01,1014.02,3.48,26,1
00:00:03:623,70.79,3.33,-114.3,70.79,-3.33,114.3,0.36,-0.45,-0.66,0.47,-0.08,1.21,-0.97,-1.16,8.36,-4.88,-203.14,-400.62,-612.75,0.86,1.15,-1.3,1014.03,3.42,47,1
00:00:03:739,70.6,4.09,-116.3,70.6,-4.09,116.3,0.36,-0.45,-0.68,0.46,0.1,0.96,0.03,-17.7,1.46,-5.31,-208.4,-402.38,-607.67,1.04,0.89,-0.3,1014.03,3.44,41,1
00:00:03:857,74,3.31,-117.32,74,-3.31,117.32,0.36,-0.48,-0.66,0.44,0.01,1.02,-0.29,-10.93,2.75,-4.94,-208.4,-388.32,-614.44,0.97,0.96,-0.56,1014.05,3.4,54,1
00:00:03:973,74.91,3.08,-118.05,74.91,-3.08,118.05,0.36,-0.49,-0.66,0.44,0.28,0.83,1.24,-4.39,-0.12,-5.07,-196.14,-379.53,-609.36,1.24,0.78,0.98,1014.03,3.56,51,1
00:00:04:104,74.96,3.82,-119.31,74.96,-3.82,119.31,0.36,-0.49,-0.67,0.43,-0.1,1.06,-0.82,0.31,8.91,-5.25,-182.13,-379.53,-619.52,0.87,0.99,-1.08,1014.04,3.46,39,1
00:00:04:219,77.31,3.53,-120.39,77.31,-3.53,120.39,0.37,-0.51,-0.66,0.42,0.11,0.89,0.09,-10.68,1.65,-5.31,-199.64,-397.1,-619.52,1.08,0.82,-0.13,1014.02,3.6,45,1
00:00:04:335,79.18,3.33,-121,79.18,-3.33,121,0.37,-0.52,-0.65,0.41,-0.09,1.21,-0.58,-2.2,6.41,-5.07,-185.63,-383.05,-609.36,0.89,1.15,-0.77,1014.04,3.46,51,1
00:00:04:453,81.96,2.73,-121.55,81.96,-2.73,121.55,0.37,-0.54,-0.64,0.4,0.09,1.01,-0.34,-0.85,3.3,-5.13,-178.63,-400.62,-609.36,1.08,0.96,-0.48,1014.04,3.43,55,1
00:00:04:569,82.84,2.96,-122.56,82.84,-2.96,122.56,0.37,-0.55,-0.64,0.39,0.02,0.9,0.73,-16.78,-0.06,-5.13,-192.64,-393.59,-599.21,1.02,0.85,0.61,1014.05,3.36,26,1
00:00:04:687,86.02,3.99,-122.5,86.02,-3.99,122.5,0.39,-0.56,-0.63,0.37,0.52,1.37,-0.57,5.74,-8.73,-5.25,-199.64,-400.62,-619.52,1.52,1.3,-0.64,1014.04,3.4,29,1
00:00:04:803,86.06,-0.13,-124.54,86.06,0.13,124.54,0.36,-0.58,-0.62,0.38,0.1,1.21,0.26,4.27,-1.89,-4.76,-217.15,-435.76,-629.67,1.1,1.22,0.19,1014.05,3.47,125,1
00:00:04:919,83.37,4.4,-123.34,83.37,-4.4,123.34,0.38,-0.55,-0.65,0.37,0.2,1.56,-4.34,21.85,37.23,-3.91,-204.9,-409.4,-627.98,1.19,1.49,-4.45,1014.03,3.54,35,1
00:00:05:077,91.58,1.34,-126.27,91.58,-1.34,126.27,0.37,-0.61,-0.6,0.35,-0.33,1.69,-0.52,40.53,37.78,-5.19,-225.91,-405.89,-621.21,0.67,1.66,-0.49,1014.03,3.51,72,1
00:00:05:193,85.39,1.85,-126.48,85.39,-1.85,126.48,0.35,-0.58,-0.64,0.36,0.19,1.02,-0.77,-3.11,-3.42,-5.62,-206.65,-421.7,-639.83,1.19,0.99,-0.85,1014.02,3.58,12,1
00:00:05:309,82.83,1.26,-127.07,82.83,-1.26,127.07,0.34,-0.57,-0.65,0.37,0.54,0.43,-0.58,-5.13,-6.04,-5.43,-213.65,-421.7,-622.9,1.53,0.41,-0.71,1014.03,3.44,101,1
00:00:05:425,83.04,0.36,-127.53,83.04,-0.36,127.53,0.33,-0.57,-0.65,0.37,0.68,0.56,0.98,-12.33,-1.89,-5.43,-215.4,-423.46,-627.98,1.67,0.55,0.86,1014.03,3.49,25,1
00:00:05:540,77.64,-0.97,-129.17,77.64,0.97,129.17,0.3,-0.55,-0.68,0.38,0,1.19,-0.61,-0.31,16.05,-4.94,-213.65,-414.67,-629.67,0.98,1.21,-0.82,1014.04,3.47,42,1
00:00:05:656,82.57,-2.04,-130.31,82.57,2.04,130.31,0.3,-0.59,-0.65,0.37,-0.12,0.99,0.04,6.77,8.36,-5.31,-217.15,-428.73,-633.06,0.87,1.02,-0.09,1014.04,3.37,31,1
00:00:05:771,83.71,0.25,-130.79,83.71,-0.25,130.79,0.32,-0.59,-0.66,0.35,-0.28,1.21,-1.34,-6.9,11.9,-5.07,-210.15,-414.67,-612.75,0.71,1.2,-1.45,1014.05,3.41,40,1
00:00:05:887,86.51,-0.85,-131.37,86.51,0.85,131.37,0.32,-0.61,-0.64,0.35,-0.05,1.1,-0.1,1.4,5.98,-4.7,-213.65,-428.73,-639.83,0.95,1.12,-0.16,1014.04,3.32,53,1
00:00:06:002,79.54,-0.55,-131.3,79.54,0.55,131.3,0.3,-0.57,-0.68,0.36,-0.17,1.23,-1.03,-0.31,5.37,-5.31,-217.15,-414.67,-622.9,0.81,1.24,-1.22,1014.04,3.48,37,1
00:00:06:118,82.8,-1.33,-131.42,82.8,1.33,131.42,0.3,-0.59,-0.66,0.36,-0.02,1.06,0.1,-12.45,-1.59,-4.82,-215.4,-423.46,-631.37,0.97,1.09,-0.03,1014.04,3.47,59,1
00:00:06:234,77.8,2.19,-131.15,77.8,-2.19,131.15,0.31,-0.55,-0.69,0.36,0.12,0.97,0.38,-10.5,0.55,-5.31,-229.41,-426.97,-634.75,1.09,0.93,0.16,1014.04,3.53,38,1
00:00:06:350,77.16,2.35,-131.03,77.16,-2.35,131.03,0.31,-0.54,-0.69,0.36,0.17,0.86,0.59,-17.4,-1.89,-5,-210.15,-425.22,-633.06,1.14,0.82,0.37,1014.03,3.44,53,1
00:00:06:466,80.28,1.41,-131.4,80.28,-1.41,131.4,0.31,-0.56,-0.68,0.35,0.08,0.96,0.15,3.54,7.87,-5.25,-229.41,-434,-634.75,1.06,0.93,-0.02,1014.04,3.4,31,1
00:00:06:581,79.7,3.04,-131.46,79.7,-3.04,131.46,0.32,-0.56,-0.69,0.35,0.1,0.92,-0.1,-9.16,2.81,-5.37,-225.91,-409.4,-638.14,1.08,0.87,-0.28,1014.04,3.47,41,1
00:00:06:697,81.76,2.5,-131.17,81.76,-2.5,131.17,0.32,-0.57,-0.67,0.34,0.06,1,0.02,-1.46,3.54,-5.07,-206.65,-411.16,-629.67,1.05,0.95,-0.12,1014.04,3.54,35,1
00:00:06:812,77.44,2.34,-131.53,77.44,-2.34,131.53,0.31,-0.54,-0.69,0.35,0.06,0.97,-0.39,-1.04,5.8,-5.37,-218.91,-416.43,-627.98,1.03,0.93,-0.6,1014.03,3.45,41,1
00:00:06:928,78.6,2.15,-131.6,78.6,-2.15,131.6,0.31,-0.55,-0.69,0.35,0.08,0.98,-0.28,-12.57,0.98,-5.13,-213.65,-432.25,-626.29,1.06,0.95,-0.48,1014.03,3.55,45,1
00:00:07:044,77.56,2.78,-131.72,77.56,-2.78,131.72,0.31,-0.54,-0.7,0.35,0.08,1.06,-0.3,5.49,8.12,-5.31,-211.9,-423.46,-624.6,1.05,1.01,-0.52,1014.03,3.42,37,1
00:00:07:160,79.37,2.63,-131.88,79.37,-2.63,131.88,0.31,-0.56,-0.69,0.35,0.1,0.92,0.27,-12.39,-0.24,-5,-208.4,-426.97,-617.82,1.08,0.87,0.08,1014.03,3.42,47,1
00:00:07:276,81.62,2.04,-131.89,81.62,-2.04,131.89,0.32,-0.57,-0.67,0.34,0.1,0.98,0.05,-6.35,3.78,-5.43,-229.41,-405.89,-621.21,1.09,0.94,-0.1,1014.04,3.52,35,1
00:00:07:436,74.74,4.99,-131.97,74.74,-4.99,131.97,0.31,-0.52,-0.71,0.35,0.12,1.1,-0.53,-2.93,4.03,-5.19,-208.4,-412.92,-617.82,1.08,1.01,-0.79,1014.02,3.53,37,1
00:00:07:551,77.42,3.02,-132.12,77.42,-3.02,132.12,0.31,-0.54,-0.7,0.35,-0.05,0.96,0.87,-10.8,1.22,-4.64,-217.15,-418.19,-605.98,0.93,0.91,0.65,1014.04,3.29,41,1
00:00:07:667,77.97,4.57,-131.72,77.97,-4.57,131.72,0.32,-0.54,-0.7,0.34,-0.05,1.09,-0.37,2.14,10.07,-5.25,-215.4,-402.38,-621.21,0.93,1.01,-0.58,1014.04,3.47,44,1
00:00:07:782,79.76,3.66,-131.67,79.76,-3.66,131.67,0.32,-0.55,-0.69,0.34,-0.47,0.73,1.47,-22.22,8.3,-5.55,-225.91,-409.4,-621.21,0.51,0.67,1.29,1014.03,3.47,0,1
00:00:07:898,84.36,4.37,-132.41,84.36,-4.37,132.41,0.34,-0.58,-0.67,0.32,0.39,0.5,0.34,-22.03,-7.26,-5.19,-210.15,-411.16,-616.13,1.38,0.43,0.24,1014.01,3.58,67,1
00:00:08:014,86.84,3.51,-133.77,86.84,-3.51,133.77,0.33,-0.6,-0.66,0.31,-0.57,1.76,-2.42,22.77,25.82,-3.42,-197.89,-419.95,-611.05,0.43,1.7,-2.47,1014.02,3.54,40,1
00:00:08:130,80.56,2.31,-134.29,80.56,-2.31,134.29,0.3,-0.57,-0.69,0.33,-0.16,1.1,-0.92,-2.38,15.38,-3.97,-190.89,-426.97,-614.44,0.82,1.06,-1.09,1014.03,3.56,47,1
00:00:08:246,71.88,3.4,-133.4,71.88,-3.4,133.4,0.29,-0.51,-0.73,0.35,-0.08,1.12,-0.78,-13.12,4.09,-5.19,-204.9,-416.43,-611.05,0.87,1.06,-1.09,1014.03,3.51,53,1
00:00:08:361,74.61,3.33,-133.23,74.61,-3.33,133.23,0.3,-0.53,-0.72,0.35,0.28,0.89,0.6,-12.33,1.22,-5.86,-213.65,-407.65,-616.13,1.24,0.83,0.34,1014.01,3.71,58,1
00:00:08:477,68.75,4.36,-132.87,68.75,-4.36,132.87,0.29,-0.49,-0.74,0.36,-0.05,1.05,0.13,-24.23,0.67,-5,-215.4,-391.83,-614.44,0.88,0.97,-0.23,1014.01,3.61,52,1
00:00:08:592,72.22,3.86,-132.73,72.22,-3.86,132.73,0.3,-0.51,-0.73,0.35,0.11,1,0.5,-7.14,6.23,-4.21,-203.14,-425.22,-612.75,1.06,0.93,0.19,1014.02,3.68,31,1
00:00:08:708,74.05,3.99,-132.58,74.05,-3.99,132.58,0.3,-0.52,-0.72,0.35,0.14,0.75,0.33,-12.76,0.92,-5.19,-210.15,-418.19,-609.36,1.1,0.68,0.06,1014,3.71,37,1
00:00:08:823,75.5,2.75,-132.39,75.5,-2.75,132.39,0.3,-0.53,-0.71,0.35,-0.06,0.94,-0.14,7.63,12.88,-5.68,-194.39,-423.46,-614.44,0.9,0.89,-0.39,1014.03,3.63,42,1
00:00:08:939,77.16,5.11,-131.84,77.16,-5.11,131.84,0.32,-0.53,-0.7,0.34,0.13,1.07,-0.4,-1.89,4.7,-5.8,-203.14,-414.67,-602.59,1.1,0.98,-0.62,1014.02,3.61,41,1
00:00:09:055,71.17,5.68,-132.58,71.17,-5.68,132.58,0.3,-0.5,-0.73,0.35,-0.07,1.17,-0.17,-16.72,4.15,-4.76,-199.64,-411.16,-616.13,0.87,1.07,-0.49,1013.99,3.63,30,1
00:00:09:171,75.75,5.5,-131.83,75.75,-5.5,131.83,0.32,-0.52,-0.71,0.34,0.14,0.93,0.12,-8.24,0.37,-4.46,-204.9,-419.95,-614.44,1.1,0.83,-0.13,1013.99,3.84,59,1
00:00:09:287,75.02,4.59,-131.81,75.02,-4.59,131.81,0.31,-0.52,-0.71,0.35,-0.04,1.12,-0.83,-13.18,2.38,-5.25,-206.65,-414.67,-602.59,0.93,1.04,-1.09,1014,3.82,45,1
00:00:09:402,77.52,3.71,-131.46,77.52,-3.71,131.46,0.32,-0.54,-0.7,0.35,0.07,1.12,0.1,4.58,5,-5.13,-208.4,-419.95,-617.82,1.05,1.06,-0.12,1013.97,3.9,45,1
00:00:09:518,79.47,3.61,-131.28,79.47,-3.61,131.28,0.32,-0.55,-0.69,0.34,0.12,1.05,0.15,1.65,3.23,-5.07,-201.39,-412.92,-604.28,1.1,0.98,-0.03,1014,3.8,44,1
00:00:09:633,81.17,3.09,-131.37,81.17,-3.09,131.37,0.32,-0.56,-0.68,0.34,0.22,0.96,0.49,-5.74,1.65,-4.82,-203.14,-418.19,-612.75,1.2,0.91,0.33,1013.98,3.91,51,1
00:00:09:761,83.58,2.06,-131.45,83.58,-2.06,131.45,0.32,-0.58,-0.66,0.34,0.12,0.95,-0.09,-2.44,4.58,-5.13,-215.4,-426.97,-611.05,1.11,0.92,-0.21,1013.98,3.92,45,1
00:00:09:877,85.28,1.92,-131.61,85.28,-1.92,131.61,0.33,-0.59,-0.66,0.33,0.11,0.86,-0.06,-4.88,2.26,-5.31,-204.9,-416.43,-607.67,1.11,0.82,-0.14,1013.97,4.07,43,1
00:00:09:992,80.06,3.48,-131.98,80.06,-3.48,131.98,0.32,-0.56,-0.69,0.34,-0.04,1.09,-0.42,-6.23,3.54,-5.07,-185.63,-414.67,-616.13,0.94,1.03,-0.59,1013.96,4.08,51,1
00:00:10:125,83.1,2.63,-132.01,83.1,-2.63,132.01,0.32,-0.58,-0.67,0.33,-0.04,1.09,-0.7,-4.33,4.82,-5.07,-204.9,-419.95,-604.28,0.95,1.05,-0.82,1013.96,4.09,47,1
00:00:10:241,77.85,3.77,-132,77.85,-3.77,132,0.32,-0.54,-0.7,0.34,0.07,1.07,-0.29,-6.41,1.95,-5.43,-204.9,-423.46,-621.21,1.05,1,-0.5,1013.94,4.17,44,1
00:00:10:357,80.89,3.42,-131.97,80.89,-3.42,131.97,0.32,-0.56,-0.68,0.34,0.12,0.96,-0.21,-5.13,3.23,-5.37,-187.38,-416.43,-617.82,1.11,0.91,-0.37,1013.95,4.3,39,1
00:00:10:472,83.28,3.28,-132.25,83.28,-3.28,132.25,0.33,-0.58,-0.67,0.33,0.19,0.84,0.42,-20.14,-1.59,-5.31,-211.9,-423.46,-614.44,1.18,0.78,0.3,1013.93,4.29,39,1
00:00:10:588,84.46,2.72,-132.4,84.46,-2.72,132.4,0.33,-0.59,-0.66,0.33,0.04,1.04,-0.08,-8.61,3.36,-5.07,-199.64,-428.73,-609.36,1.03,0.99,-0.17,1013.95,4.15,45,1
00:00:10:703,87.09,1.92,-132.75,87.09,-1.92,132.75,0.33,-0.61,-0.65,0.32,-0.02,1.1,-0.55,0.49,5.86,-5.07,-197.89,-416.43,-607.67,0.98,1.07,-0.6,1013.95,4.25,44,1
00:00:10:819,84.25,1.56,-132.74,84.25,-1.56,132.74,0.32,-0.59,-0.66,0.33,0.04,0.99,-0.29,-4.58,3.6,-5.37,-201.39,-430.49,-590.74,1.04,0.96,-0.39,1013.94,4.25,41,1
00:00:10:935,82.5,2.52,-132.59,82.5,-2.52,132.59,0.32,-0.58,-0.67,0.33,0.04,1.12,-0.38,-2.87,3.72,-5.07,-206.65,-414.67,-622.9,1.03,1.07,-0.51,1013.93,4.35,47,1
00:00:11:051,84.56,2.65,-132.51,84.56,-2.65,132.51,0.33,-0.59,-0.66,0.33,0.15,0.97,0.16,-10.07,1.16,-4.94,-196.14,-414.67,-595.82,1.14,0.92,0.07,1013.94,4.37,41,1
00:00:11:167,83.02,4.33,-132.49,83.02,-4.33,132.49,0.33,-0.57,-0.68,0.32,0.18,0.9,0.49,-11.72,-1.04,-4.88,-197.89,-423.46,-604.28,1.17,0.83,0.37,1013.92,4.37,39,1
00:00:11:282,85.44,3.78,-132.5,85.44,-3.78,132.5,0.33,-0.59,-0.66,0.32,0.1,0.94,0.07,-4.21,3.72,-5.25,-194.39,-430.49,-604.28,1.09,0.87,-0.01,1013.93,4.38,43,1
00:00:11:398,86.68,3.53,-132.52,86.68,-3.53,132.52,0.34,-0.6,-0.65,0.32,0.1,1.03,-0.21,-3.3,4.27,-5.37,-220.66,-418.19,-599.21,1.09,0.97,-0.26,1013.92,4.52,40,1
00:00:11:513,87.39,3.64,-132.47,87.39,-3.64,132.47,0.34,-0.6,-0.65,0.31,0.02,1.11,-0.4,-2.62,5.43,-5.25,-206.65,-411.16,-612.75,1.01,1.05,-0.44,1013.92,4.47,46,1
00:00:11:629,88.72,3.17,-132.59,88.72,-3.17,132.59,0.34,-0.61,-0.64,0.31,0.11,0.95,-0.06,-6.53,4.82,-5.25,-183.88,-412.92,-611.05,1.1,0.9,-0.08,1013.92,4.42,43,1
00:00:11:744,88.52,3.32,-132.76,88.52,-3.32,132.76,0.34,-0.61,-0.64,0.31,0.06,1.01,-0.38,-6.59,4.27,-5.19,-196.14,-418.19,-622.9,1.06,0.95,-0.4,1013.92,4.5,43,1
00:00:11:860,90.22,2.75,-133.08,90.22,-2.75,133.08,0.34,-0.62,-0.64,0.31,0.05,1.05,-0.2,-5.86,6.84,-5.25,-208.4,-423.46,-611.05,1.04,1,-0.2,1013.92,4.46,45,1
00:00:11:976,86.01,3.89,-133.61,86.01,-3.89,133.61,0.33,-0.6,-0.66,0.31,0.1,1.03,-0.3,-10.62,5.49,-5.25,-197.89,-426.97,-611.05,1.09,0.96,-0.37,1013.91,4.51,39,1
00:00:12:092,87.37,3.18,-133.97,87.37,-3.18,133.97,0.33,-0.61,-0.65,0.31,0.05,1.05,-0.13,-6.65,7.57,-5,-210.15,-414.67,-602.59,1.05,0.99,-0.18,1013.92,4.53,39,1
00:00:12:208,88.99,2.61,-134.45,88.99,-2.61,134.45,0.33,-0.62,-0.65,0.3,0.15,0.93,-0.05,-7.87,6.96,-5.07,-213.65,-432.25,-602.59,1.15,0.89,-0.06,1013.91,4.58,42,1
00:00:12:323,88.33,2.46,-134.75,88.33,-2.46,134.75,0.32,-0.62,-0.65,0.31,0.01,0.93,0.08,-10.8,5.98,-5.07,-197.89,-419.95,-600.9,1.01,0.88,0.05,1013.92,4.44,42,1
00:00:12:449,84.73,2.67,-134.81,84.73,-2.67,134.81,0.31,-0.6,-0.67,0.31,0.17,0.98,-0.01,-10.44,4.15,-5.13,-220.66,-435.76,-602.59,1.16,0.94,-0.1,1013.91,4.56,39,1
00:00:12:564,86.51,1.47,-135.3,86.51,-1.47,135.3,0.31,-0.61,-0.66,0.31,0.12,1.05,-0.21,-5.86,7.32,-5,-201.39,-437.52,-587.36,1.11,1.02,-0.27,1013.9,4.47,41,1
00:00:12:680,85.14,3.38,-135.61,85.14,-3.38,135.61,0.32,-0.6,-0.67,0.3,0.26,1,0.02,-12.51,2.56,-5,-208.4,-437.52,-590.74,1.25,0.94,-0.07,1013.91,4.59,45,1
00:00:12:796,79.71,4.49,-135.68,79.71,-4.49,135.68,0.31,-0.56,-0.7,0.31,-0.07,0.96,0.03,-11.23,6.41,-5.25,-206.65,-449.82,-578.89,0.91,0.88,-0.15,1013.9,4.58,39,1
00:00:12:912,82.34,3.31,-135.82,82.34,-3.31,135.82,0.31,-0.58,-0.69,0.31,0.07,0.93,-0.11,-6.04,3.23,-5.19,-206.65,-432.25,-568.74,1.06,0.87,-0.24,1013.91,4.51,51,1
00:00:13:028,84.22,2.44,-135.78,84.22,-2.44,135.78,0.31,-0.6,-0.67,0.31,0,0.9,-0.01,-4.52,2.75,-5.19,-215.4,-430.49,-580.59,1,0.86,-0.11,1013.89,4.73,41,1
00:00:13:143,86.48,2.02,-135.62,86.48,-2.02,135.62,0.31,-0.61,-0.66,0.31,0.04,1.01,-0.4,-0.06,4.58,-4.94,-206.65,-439.27,-592.43,1.03,0.98,-0.46,1013.88,4.68,43,1
00:00:13:259,87.76,2.78,-135.37,87.76,-2.78,135.37,0.32,-0.61,-0.65,0.3,0.06,1.03,-0.07,-2.32,4.58,-5.25,-220.66,-442.79,-585.66,1.05,0.98,-0.11,1013.89,4.65,45,1
00:00:13:374,83.86,5.02,-135.33,83.86,-5.02,135.33,0.32,-0.59,-0.68,0.3,0.1,1.03,-0.28,-8.06,0.67,-5.37,-206.65,-442.79,-592.43,1.09,0.95,-0.39,1013.9,4.52,42,1
00:00:13:490,85.5,4.82,-134.93,85.5,-4.82,134.93,0.33,-0.59,-0.67,0.3,0.33,1.03,-0.22,-5.13,-2.5,-4.94,-210.15,-428.73,-568.74,1.32,0.94,-0.29,1013.91,4.56,35,1
